host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1784021359.838,146646000,28,1,0,0,10.0,25.0,10.0,25.0,8.737585067749023,25.361770629882812,-0.3617703914642334,32.882232666015625,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9053073525428772,,,,,,,,,,,,,,,,
1784021359.864,146656000,29,1,1,0,10.0,25.0,10.0,25.0,8.741660118103027,25.34942054748535,-0.34942030906677246,36.97396469116211,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0289944410324097,,,,,,,,,,,,,,,,
1784021359.869,146666000,30,1,2,0,10.0,25.0,10.0,25.0,9.096273422241211,25.094451904296875,-0.09445250034332275,43.93819808959961,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.2773517370224,,,,,,,,,,,,,,,,
1784021359.869,146676000,31,1,3,0,10.0,25.0,10.0,25.0,8.964736938476562,25.424198150634766,-0.42419731616973877,37.242156982421875,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0537759065628052,,,,,,,,,,,,,,,,
1784021359.876,146686000,32,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021359.920,146736000,37,1,0,0,10.0,25.0,10.0,25.0,8.739564895629883,25.359207153320312,-0.3592073917388916,33.06253433227539,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9110794067382812,,,,,,,,,,,,,,,,
1784021359.936,146746000,38,1,1,0,10.0,25.0,10.0,25.0,8.74067211151123,25.3502254486084,-0.35022497177124023,36.914608001708984,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0269213914871216,,,,,,,,,,,,,,,,
1784021359.945,146756000,39,1,2,0,10.0,25.0,10.0,25.0,9.09498119354248,25.09358787536621,-0.09358823299407959,43.687618255615234,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.267954707145691,,,,,,,,,,,,,,,,
1784021359.958,146766000,40,1,3,0,10.0,25.0,10.0,25.0,8.965020179748535,25.42498016357422,-0.42498111724853516,36.873512268066406,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0422184467315674,,,,,,,,,,,,,,,,
1784021359.961,146776000,41,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.016,146826000,46,1,0,0,10.0,25.0,10.0,25.0,8.736600875854492,25.360179901123047,-0.36017894744873047,32.88050842285156,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9049603939056396,,,,,,,,,,,,,,,,
1784021360.020,146836000,47,1,1,0,10.0,25.0,10.0,25.0,8.740192413330078,25.35005760192871,-0.35005807876586914,37.218223571777344,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0362317562103271,,,,,,,,,,,,,,,,
1784021360.037,146846000,48,1,2,0,10.0,25.0,10.0,25.0,9.093266487121582,25.09549903869629,-0.09549856185913086,43.798519134521484,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.272343635559082,,,,,,,,,,,,,,,,
1784021360.040,146856000,49,1,3,0,10.0,25.0,10.0,25.0,8.962603569030762,25.425893783569336,-0.42589306831359863,37.16077423095703,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0510828495025635,,,,,,,,,,,,,,,,
1784021360.056,146866000,50,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021360.101,146916000,55,1,0,0,10.0,25.0,10.0,25.0,8.73806381225586,25.361082077026367,-0.36108195781707764,32.87852478027344,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9050815105438232,,,,,,,,,,,,,,,,
1784021360.117,146926000,56,1,1,0,10.0,25.0,10.0,25.0,8.741193771362305,25.349109649658203,-0.34911036491394043,36.91449737548828,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0269960165023804,,,,,,,,,,,,,,,,
1784021360.121,146936000,57,1,2,0,10.0,25.0,10.0,25.0,9.097591400146484,25.093074798583984,-0.09307563304901123,44.00165939331055,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.279080867767334,,,,,,,,,,,,,,,,
1784021360.140,146946000,58,1,3,0,10.0,25.0,10.0,25.0,8.964031219482422,25.424457550048828,-0.4244565963745117,37.305179595947266,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0558828115463257,,,,,,,,,,,,,,,,
