host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2
1784053969.799,198933000,167,1,1,0,10.0,25.0,10.0,25.0,8.931960105895996,25.27308464050293,-0.2730846405029297,39.32075881958008,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1178369522094727,1.0680391788482666,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.823,198959000,168,1,2,0,10.0,25.0,10.0,25.0,9.246865272521973,25.04514503479004,-0.04514455795288086,45.38710403442383,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3350532054901123,0.7531337738037109,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.823,198985000,169,1,3,0,10.0,25.0,10.0,25.0,8.858736038208008,25.499271392822266,-0.49927234649658203,34.86311340332031,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9709939956665039,1.141263484954834,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.856,199006000,170,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0247716773301363,-0.02314840815961361,0.04007045552134514,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053969.875,199019000,171,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,0.010535001754760742,-0.03973166644573212,0.0,0.0,0.030084609985351562,0.01015479490160942,-1.490981101989746,0.2001507431268692,9.84008502960205
1784053969.971,199107000,176,1,0,0,10.0,25.0,10.0,25.0,8.877546310424805,25.393508911132812,-0.3935098648071289,31.91992950439453,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8869336843490601,1.1224530935287476,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.998,199131000,177,1,1,0,10.0,25.0,10.0,25.0,8.932794570922852,25.27278709411621,-0.27278661727905273,39.233192443847656,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.114938497543335,1.0672047138214111,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.020,199155000,178,1,2,0,10.0,25.0,10.0,25.0,9.246504783630371,25.045753479003906,-0.045752525329589844,45.413028717041016,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3360053300857544,0.753494381904602,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.022,199182000,179,1,3,0,10.0,25.0,10.0,25.0,8.859232902526855,25.498241424560547,-0.4982411861419678,34.9321174621582,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9732459187507629,1.1407666206359863,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053970.052,199202000,180,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.02941400557756424,-0.024662531912326813,0.04009927809238434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
